anon_id,arm,model,query_id,query_type,hop_count,source_file
A0001,Act-only,llama3.1:8b,Q40,1-hop_setting,1,eval_results_act_only_llama31_20260706_015432.json
A0002,Vector-Gated v2,llama3.1:8b,Q42,1-hop_setting,1,eval_results_agentic_llama_20260707_144026_noaudit.json
A0003,Act-only,llama3.1:8b,Q92,collaborative_shared_ddc,3,eval_results_act_only_llama31_20260706_015432.json
A0004,Act-only,llama3.1:8b,Q27,runtime_similarity,1,eval_results_act_only_llama31_20260706_015432.json
A0005,Pure ReAct,qwen2.5:7b,Q92,collaborative_shared_ddc,3,eval_results_pure_react_qwen25_20260706_050120.json
A0006,Standard RAG,llama3.1:8b,Q82,2-hop_collectiontype_category,2,eval_results_standard_20260706_081128.json
A0007,Vector-Gated v2,qwen2.5:7b,Q51,1-hop_language,1,eval_results_agentic_qwen_20260707_151426_noaudit.json
A0008,Act-only,llama3.1:8b,Q81,2-hop_ddc_branch,2,eval_results_act_only_llama31_20260706_015432.json
A0009,Act-only,llama3.1:8b,Q24,collaborative_shared_ddc,3,eval_results_act_only_llama31_20260706_015432.json
A0010,CoT-RAG,qwen2.5:7b,Q05,1-hop_ddc,1,eval_results_cot_rag_qwen25_20260706_050120.json
A0011,Planned,llama3.1:8b,Q69,2-hop_setting_category,2,eval_results_planned_llama31_20260707_154549_noaudit.json
A0012,Act-only,llama3.1:8b,Q46,1-hop_category,1,eval_results_act_only_llama31_20260706_015432.json
A0013,Standard RAG,llama3.1:8b,Q67,2-hop_setting_category,2,eval_results_standard_20260706_081128.json
A0014,Planned,llama3.1:8b,Q43,1-hop_category,1,eval_results_planned_llama31_20260707_154549_noaudit.json
A0015,Pure ReAct,qwen2.5:7b,Q24,collaborative_shared_ddc,3,eval_results_pure_react_qwen25_20260706_050120.json
A0016,Vector-Gated v2,llama3.1:8b,Q21,3-hop_vibe_setting_category,3,eval_results_agentic_llama_20260707_144026_noaudit.json
A0017,Act-only,llama3.1:8b,Q03,1-hop_setting,1,eval_results_act_only_llama31_20260706_015432.json
A0018,Standard RAG,qwen2.5:7b,Q49,1-hop_ddc,1,eval_results_standard_20260706_112205.json
